dataset,representation,embedding_tag,objective,pair_condition,N,run,seed,train_examples,train_pairs,val_pairs,epochs_trained,general_pair_accuracy,same_image_accuracy,mse,mae,pearson,spearman,kendall_c,rating_mode,test_examples,general_test_pairs,same_image_test_pairs
FlickrExpert,clip-vit-b32,openai-clip-vit-base-patch32,regression,individual_ratings,,1,0,3693,0,0,27,0.8322136089577951,0.8091397849462365,0.30522221326828003,0.4201057255268097,0.6778892372201426,0.6064815175979532,0.48543299891709774,rounded_mean,1161,5805,1488
FlickrExpert,clip-vit-b32,openai-clip-vit-base-patch32,regression,individual_ratings,,2,1,3693,0,0,33,0.8175710594315245,0.7748655913978495,0.33292752504348755,0.40704628825187683,0.6669772588792853,0.5759903160880688,0.45985286476977016,rounded_mean,1161,5805,1488
FlickrExpert,clip-vit-b32,openai-clip-vit-base-patch32,regression,individual_ratings,,3,2,3693,0,0,42,0.8179155900086132,0.7721774193548387,0.32189035415649414,0.42656776309013367,0.6532013722337524,0.5707018738862172,0.45466561714917514,rounded_mean,1161,5805,1488
FlickrExpert,clip-vit-b32,openai-clip-vit-base-patch32,regression,individual_ratings,,4,3,3693,0,0,34,0.8117140396210164,0.771505376344086,0.3273203372955322,0.417186975479126,0.6525919089408916,0.5781391793880947,0.4604107609669508,rounded_mean,1161,5805,1488
FlickrExpert,clip-vit-b32,openai-clip-vit-base-patch32,regression,individual_ratings,,5,4,3693,0,0,30,0.8199827734711456,0.7728494623655914,0.3290567100048065,0.4424755573272705,0.6538374656240649,0.5733991269099153,0.45609398968238246,rounded_mean,1161,5805,1488
FlickrExpert,clip-vit-b32,openai-clip-vit-base-patch32,regression,individual_ratings,,6,5,3693,0,0,28,0.8093023255813954,0.7809139784946236,0.3257620334625244,0.410249263048172,0.6546602811325783,0.5603224288324604,0.445830282338505,rounded_mean,1161,5805,1488
FlickrExpert,clip-vit-b32,openai-clip-vit-base-patch32,regression,individual_ratings,,7,6,3693,0,0,35,0.8137812230835486,0.7775537634408602,0.3356451094150543,0.4108535945415497,0.6567517447961677,0.5732754908519856,0.45675476035563906,rounded_mean,1161,5805,1488
FlickrExpert,clip-vit-b32,openai-clip-vit-base-patch32,regression,individual_ratings,,8,7,3693,0,0,27,0.8227390180878553,0.7896505376344086,0.31557315587997437,0.4102163016796112,0.6651054820758873,0.5935981050375552,0.4731988496853055,rounded_mean,1161,5805,1488
FlickrExpert,clip-vit-b32,openai-clip-vit-base-patch32,regression,individual_ratings,,9,8,3693,0,0,39,0.8304909560723515,0.7889784946236559,0.3266344964504242,0.4042041301727295,0.6695757744000019,0.5942677452314784,0.47466678932469586,rounded_mean,1161,5805,1488
FlickrExpert,clip-vit-b32,openai-clip-vit-base-patch32,regression,individual_ratings,,10,9,3693,0,0,27,0.8025839793281654,0.7641129032258065,0.33900657296180725,0.4326937198638916,0.6328205834098526,0.5458035261490213,0.4344072587834648,rounded_mean,1161,5805,1488
