dataset,representation,embedding_tag,objective,pair_condition,N,run,seed,train_examples,train_pairs,val_pairs,epochs_trained,general_pair_accuracy,same_image_accuracy,mse,mae,pearson,spearman,kendall_c,rating_mode,test_examples,general_test_pairs,same_image_test_pairs
FlickrExpert,vilbert,vilbert,hinge,different_image,0.1,1,0,3693,369,81,19,0.8430663221360896,0.8118279569892473,8.970444679260254,2.483684539794922,0.6890195904479697,0.6089101296372303,0.4907310344350052,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,0.1,1,0,3693,369,81,19,0.8403100775193798,0.8004032258064516,7.375757694244385,2.289245367050171,0.6803875893797908,0.5980299713366661,0.48074034012379063,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,hinge,different_image,0.1,2,1,3693,369,81,22,0.8551248923341946,0.8071236559139785,108.09412384033203,5.96962833404541,0.7032196433882869,0.6276518444122624,0.507258214687656,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,0.1,2,1,3693,369,81,21,0.8477174849267872,0.8044354838709677,72.14910125732422,5.045950412750244,0.7041049987187762,0.6126659838862334,0.49448990952239286,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,hinge,different_image,0.1,3,2,3693,369,81,24,0.8399655469422911,0.8313172043010753,32.83793640136719,3.910832166671753,0.6983673261625114,0.6265509155416167,0.5046507423901945,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,0.1,3,2,3693,369,81,18,0.8275624461670973,0.8118279569892473,13.687860488891602,2.9572243690490723,0.6477330948819713,0.5958488827598248,0.47526425262805955,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,hinge,different_image,0.1,4,3,3693,369,81,20,0.8375538329026702,0.8064516129032258,22.332639694213867,4.153433799743652,0.6547221812972452,0.6058686596822938,0.4842143320466605,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,0.1,4,3,3693,369,81,20,0.8270456503014643,0.7997311827956989,19.569414138793945,3.8920321464538574,0.6315328403200056,0.5928850744873285,0.47171508320344196,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,hinge,different_image,0.1,5,4,3693,369,81,26,0.8387596899224806,0.8064516129032258,14.945786476135254,2.6674230098724365,0.7140385436745191,0.6078746170202187,0.4913918051082618,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,0.1,5,4,3693,369,81,26,0.8489233419465978,0.8158602150537635,13.382356643676758,2.6808247566223145,0.7200276266156607,0.6203451950340904,0.5011965340204161,rounded_mean,1161,5805,1488
