dataset,representation,embedding_tag,objective,pair_condition,N,run,seed,train_examples,train_pairs,val_pairs,epochs_trained,general_pair_accuracy,same_image_accuracy,mse,mae,pearson,spearman,kendall_c,rating_mode,test_examples,general_test_pairs,same_image_test_pairs
FlickrExpert,vilbert,vilbert,regression,individual_ratings,,1,0,3693,0,0,52,0.8768303186907838,0.8440860215053764,0.23884078860282898,0.3675731122493744,0.7663270674250953,0.6731327427906537,0.5445818659501064,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,regression,individual_ratings,,2,1,3693,0,0,35,0.8711455641688199,0.8272849462365591,0.26685023307800293,0.363895058631897,0.7622187668164315,0.6617262162541591,0.5364824793144405,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,regression,individual_ratings,,3,2,3693,0,0,38,0.8761412575366063,0.8293010752688172,0.2313092052936554,0.33831214904785156,0.7746378293410316,0.6715564910869806,0.5445383421333051,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,regression,individual_ratings,,4,3,3693,0,0,27,0.8726959517657192,0.8225806451612904,0.23991461098194122,0.35102832317352295,0.7636539757922947,0.6612298420429817,0.5356436566633603,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,regression,individual_ratings,,5,4,3693,0,0,38,0.8683893195521103,0.8299731182795699,0.23419857025146484,0.33943986892700195,0.7759326421968922,0.6578620139924806,0.5336059506949344,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,regression,individual_ratings,,6,5,3693,0,0,33,0.8490956072351421,0.8064516129032258,0.2645357847213745,0.35178694128990173,0.7439485525904956,0.6193725499282388,0.500436845581702,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,regression,individual_ratings,,7,6,3693,0,0,45,0.8790697674418605,0.8400537634408602,0.25002118945121765,0.3491956293582916,0.7681979121376514,0.6765484325207602,0.548732455388706,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,regression,individual_ratings,,8,7,3693,0,0,47,0.8752799310938846,0.8245967741935484,0.2356998473405838,0.34559205174446106,0.7710302115954164,0.6716761364668155,0.5442534589687873,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,regression,individual_ratings,,9,8,3693,0,0,53,0.8785529715762274,0.844758064516129,0.23671476542949677,0.35093221068382263,0.7683919928831529,0.67776606998493,0.548914464077148,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,regression,individual_ratings,,10,9,3693,0,0,26,0.8583979328165374,0.8266129032258065,0.25411054491996765,0.353728324174881,0.7627403427426316,0.6533763639356631,0.5291427811174888,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,hinge,different_image,1.0,1,0,3693,3693,810,19,0.8654608096468561,0.8393817204301075,8.335739135742188,2.455551862716675,0.7322781140139796,0.6560230433824872,0.5311527901115867,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,1.0,1,0,3693,3693,810,18,0.8775193798449612,0.8575268817204301,12.921886444091797,2.986036777496338,0.7394370090264317,0.6773915635864715,0.5496148018565875,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,hinge,different_image,1.0,2,1,3693,3693,810,20,0.8742463393626184,0.8407258064516129,9.01860237121582,2.363898992538452,0.7424925671215306,0.6677854017077918,0.5410920471847633,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,1.0,2,1,3693,3693,810,20,0.880275624461671,0.8501344086021505,15.25369644165039,3.1050376892089844,0.7438192627259923,0.6776572148695134,0.5487482822311792,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,hinge,different_image,1.0,3,2,3693,3693,810,18,0.8737295434969854,0.8629032258064516,7.945522785186768,2.2755353450775146,0.7371418032265638,0.6731320593043503,0.5460656324319699,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,1.0,3,2,3693,3693,810,19,0.8716623600344531,0.831989247311828,16.382728576660156,3.115232229232788,0.7368533611350756,0.666456810163815,0.540174090321317,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,hinge,different_image,1.0,4,3,3693,3693,810,22,0.8744186046511628,0.8326612903225806,8.658159255981445,2.3621625900268555,0.7296171099879416,0.6620706801223843,0.5354893449492465,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,1.0,4,3,3693,3693,810,18,0.8745908699397071,0.8501344086021505,12.045170783996582,2.942593574523926,0.7388931708653104,0.6728278329362536,0.5452426366233629,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,hinge,different_image,1.0,5,4,3693,3693,810,20,0.8645994832041344,0.8299731182795699,7.826604843139648,2.3830277919769287,0.7323626281728366,0.6540420178610805,0.5294395344138615,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,1.0,5,4,3693,3693,810,18,0.866838931955211,0.8346774193548387,15.85291862487793,3.2452452182769775,0.7264730009980291,0.66001739466513,0.5343221153168473,rounded_mean,1161,5805,1488
