dataset,representation,embedding_tag,objective,pair_condition,N,run,seed,train_examples,train_pairs,val_pairs,epochs_trained,general_pair_accuracy,same_image_accuracy,mse,mae,pearson,spearman,kendall_c,rating_mode,test_examples,general_test_pairs,same_image_test_pairs
VICR,vilbert,vilbert,regression,individual_ratings,,1,0,10175,0,0,32,0.9207845618475166,0.8330393885949442,0.37938421964645386,0.4576272666454315,0.9029736026880073,0.8823043934941687,0.803440849862604,rounded_mean,3161,15805,1701
VICR,vilbert,vilbert,regression,individual_ratings,,2,1,10175,0,0,45,0.9196456817462828,0.829512051734274,0.37760496139526367,0.46170279383659363,0.9033294776314733,0.8838623502435332,0.8049230473299379,rounded_mean,3161,15805,1701
VICR,vilbert,vilbert,regression,individual_ratings,,3,2,10175,0,0,45,0.921480544131604,0.8336272780717225,0.3775172233581543,0.4540911018848419,0.9058864291495183,0.8860130901140119,0.8080070388867165,rounded_mean,3161,15805,1701
VICR,vilbert,vilbert,regression,individual_ratings,,4,3,10175,0,0,42,0.9205947484973109,0.8459729570840682,0.37506842613220215,0.45894700288772583,0.904554094796282,0.8848210228069084,0.8059831537899469,rounded_mean,3161,15805,1701
VICR,vilbert,vilbert,regression,individual_ratings,,5,4,10175,0,0,49,0.9226826953495729,0.8465608465608465,0.38301756978034973,0.458072692155838,0.9049423782477888,0.8872908531142321,0.8106806989366709,rounded_mean,3161,15805,1701
VICR,vilbert,vilbert,regression,individual_ratings,,6,5,10175,0,0,30,0.9195191395128124,0.8389182833627278,0.4030119776725769,0.47679898142814636,0.8982024275343079,0.8802205819166792,0.7995757272300291,rounded_mean,3161,15805,1701
VICR,vilbert,vilbert,regression,individual_ratings,,7,6,10175,0,0,55,0.9185700727617843,0.8377425044091711,0.39311453700065613,0.46639591455459595,0.901712042010292,0.8828570634630838,0.8026259414981364,rounded_mean,3161,15805,1701
VICR,vilbert,vilbert,regression,individual_ratings,,8,7,10175,0,0,39,0.9242644732679531,0.8400940623162846,0.3754008114337921,0.45442962646484375,0.9053114122347417,0.8859823957711301,0.8084408893945418,rounded_mean,3161,15805,1701
VICR,vilbert,vilbert,regression,individual_ratings,,9,8,10175,0,0,54,0.9238848465675419,0.8418577307466196,0.3772873282432556,0.45687445998191833,0.9062014899470547,0.8880669754509236,0.8120818309111931,rounded_mean,3161,15805,1701
VICR,vilbert,vilbert,regression,individual_ratings,,10,9,10175,0,0,24,0.9202151217968997,0.829512051734274,0.38941332697868347,0.4616418778896332,0.9023822395660375,0.8825770460469614,0.8037280819173811,rounded_mean,3161,15805,1701
VICR,vilbert,vilbert,hinge,different_image,1.0,1,0,10175,10175,2310,19,0.9152799746915533,0.8289241622574955,8.294024467468262,2.5668206214904785,0.8648285128503659,0.8757414483818636,0.7933476956032779,rounded_mean,3161,15805,1701
VICR,vilbert,vilbert,bradley_terry,different_image,1.0,1,0,10175,10175,2310,16,0.9144574501739956,0.8371546149323927,17.1024227142334,3.508664608001709,0.8709970663194113,0.8746321019057255,0.7910093064186556,rounded_mean,3161,15805,1701
VICR,vilbert,vilbert,hinge,different_image,1.0,2,1,10175,10175,2310,18,0.9202151217968997,0.8324514991181657,8.776104927062988,2.7214455604553223,0.8837654937893262,0.8796865927781098,0.7987405524923586,rounded_mean,3161,15805,1701
VICR,vilbert,vilbert,bradley_terry,different_image,1.0,2,1,10175,10175,2310,18,0.9182537171781082,0.8400940623162846,16.52785873413086,3.392591953277588,0.8878314468291819,0.8795330469805307,0.7994556302036415,rounded_mean,3161,15805,1701
VICR,vilbert,vilbert,hinge,different_image,1.0,3,2,10175,10175,2310,17,0.9137614678899083,0.8442092886537331,8.909491539001465,2.7107934951782227,0.8508166274636473,0.8766967485090561,0.7945171403977274,rounded_mean,3161,15805,1701
VICR,vilbert,vilbert,bradley_terry,different_image,1.0,3,2,10175,10175,2310,17,0.9140778234735843,0.8524397413286302,12.695334434509277,2.8843061923980713,0.8685097836996718,0.8758192854912721,0.7937184951722497,rounded_mean,3161,15805,1701
VICR,vilbert,vilbert,hinge,different_image,1.0,4,3,10175,10175,2310,17,0.9198987662132236,0.8418577307466196,13.116372108459473,3.4534528255462646,0.8550470049552494,0.8799298948440276,0.8000931452520491,rounded_mean,3161,15805,1701
VICR,vilbert,vilbert,bradley_terry,different_image,1.0,4,3,10175,10175,2310,17,0.9211009174311927,0.8465608465608465,16.132776260375977,3.413100481033325,0.8791746383069459,0.8827571837828787,0.8041133932103747,rounded_mean,3161,15805,1701
VICR,vilbert,vilbert,hinge,different_image,1.0,5,4,10175,10175,2310,18,0.9168617526099335,0.8506760728982952,12.2421236038208,3.2047505378723145,0.8803203528960069,0.8802876612874384,0.7998379390709754,rounded_mean,3161,15805,1701
VICR,vilbert,vilbert,bradley_terry,different_image,1.0,5,4,10175,10175,2310,20,0.917874090477697,0.8483245149911817,21.4947509765625,3.6942453384399414,0.880678131818641,0.8796430734233549,0.8001541945737962,rounded_mean,3161,15805,1701
VICR,vilbert,vilbert,hinge,different_image,1.0,6,5,10175,10175,2310,17,0.91426763682379,0.8365667254556144,9.958290100097656,2.782399892807007,0.8615535861002028,0.8766935143279087,0.7945346545474089,rounded_mean,3161,15805,1701
