Pair,Acc,Kappa
Ground_Truth/P1,0.90,0.80
Ground_Truth/P2,0.83,0.67
Ground_Truth/P3,0.85,0.69
Ground_Truth/P4,0.85,0.68
Ground_Truth/P5,0.96,0.92
Ground_Truth/P6,0.87,0.73
Ground_Truth/P7,0.91,0.78
Ground_Truth/P8,1.00,1.00
P1/P2,1.00,1.00
P1/P3,0.94,0.87
P1/P4,0.89,0.78
P1/P5,0.93,0.86
P1/P6,0.94,0.88
P1/P7,0.80,0.58
P1/P8,0.85,0.68
P2/P3,0.87,0.74
P2/P4,0.87,0.73
P2/P5,0.96,0.93
P2/P6,0.97,0.93
P2/P7,0.75,0.48
P2/P8,0.78,0.51
P3/P4,0.70,0.36
P3/P5,0.97,0.93
P3/P6,0.80,0.59
P3/P7,0.72,0.34
P3/P8,0.83,0.61
P4/P5,0.83,0.66
P4/P6,0.85,0.70
P4/P7,0.68,0.34
P4/P8,0.80,0.57
P5/P6,0.85,0.69
P5/P7,0.73,0.38
P5/P8,0.78,0.50
P6/P7,0.89,0.77
P6/P8,0.95,0.89
P7/P8,0.95,0.89
