Pair,Acc,Kappa
GT/P1,0.90,0.78
GT/P2,1.00,1.00
GT/P3,1.00,1.00
GT/P4,0.90,0.74
GT/P5,0.90,0.78
GT/P6,0.90,0.78
GT/P7,1.00,1.00
GT/P8,1.00,1.00
P1/P2,0.90,0.78
P1/P3,0.90,0.78
P1/P4,0.80,0.55
P1/P5,0.80,0.58
P1/P6,0.80,0.58
P1/P7,0.90,0.78
P1/P8,0.90,0.78
P2/P3,1.00,1.00
P2/P4,0.90,0.74
P2/P5,0.90,0.78
P2/P6,0.90,0.78
P2/P7,1.00,1.00
P2/P8,1.00,1.00
P3/P4,0.90,0.74
P3/P5,0.90,0.78
P3/P6,0.90,0.78
P3/P7,1.00,1.00
P3/P8,1.00,1.00
P4/P5,0.80,0.55
P4/P6,0.80,0.55
P4/P7,0.90,0.74
P4/P8,0.90,0.74
P5/P6,0.80,0.58
P5/P7,0.90,0.78
P5/P8,0.90,0.78
P6/P7,0.90,0.78
P6/P8,0.90,0.78
P7/P8,1.00,1.00
